Year,Ceremony,Award,Winner,Name,Film
2016,89,Best Picture,,,Arrival
2016,89,Best Picture,,,Fences
2016,89,Best Picture,,,Hacksaw Ridge
2016,89,Best Picture,,,Hell or High Water
2016,89,Best Picture,,,Hidden Figures
2016,89,Best Picture,,,La La Land
2016,89,Best Picture,,,Lion
2016,89,Best Picture,,,Manchester by the Sea
2016,89,Best Picture,,,Moonlight
2016,89,Actor in a Leading Role,,Casey Affleck,Manchester by the Sea
2016,89,Actor in a Leading Role,,Andrew Garfield,Hacksaw Ridge
2016,89,Actor in a Leading Role,,Ryan Gosling,La La Land
2016,89,Actor in a Leading Role,,Viggo Mortensen,Captain Fantastic
2016,89,Actor in a Leading Role,,Denzel Washington,Fences
2016,89,Actress in a Leading Role,,Isabelle Huppert,Elle
2016,89,Actress in a Leading Role,,Ruth Negga,Loving
2016,89,Actress in a Leading Role,,Natalie Portman,Jackie
2016,89,Actress in a Leading Role,,Emma Stone,La La Land
2016,89,Actress in a Leading Role,,Meryl Streep,Florence Foster Jenkins
2016,89,Actor in a Supporting Role,,Mahershala Ali,Moonlight
2016,89,Actor in a Supporting Role,,Jeff Bridges,Hell or High Water
2016,89,Actor in a Supporting Role,,Lucas Hedges,Manchester by the Sea
2016,89,Actor in a Supporting Role,,Dev Patel,Lion
2016,89,Actor in a Supporting Role,,Michael Shannon,Nocturnal Animals
2016,89,Actress in a Supporting Role,,Viola Davis,Fences
2016,89,Actress in a Supporting Role,,Naomie Harris,Moonlight
2016,89,Actress in a Supporting Role,,Nicole Kidman,Lion
2016,89,Actress in a Supporting Role,,Octavia Spencer,Hidden Figures
2016,89,Actress in a Supporting Role,,Michelle Williams,Manchester by the Sea
2016,89,Animated Feature Film,,,Kubo and the Two Strings
2016,89,Animated Feature Film,,,Moana
2016,89,Animated Feature Film,,,My Life as a Zucchini
2016,89,Animated Feature Film,,,The Red Turtle
2016,89,Animated Feature Film,,,Zootopia
2016,89,Cinematography,,,Arrival
2016,89,Cinematography,,,La La Land
2016,89,Cinematography,,,Lion
2016,89,Cinematography,,,Moonlight
2016,89,Cinematography,,,Silence
2016,89,Costume Design,,,Allied
2016,89,Costume Design,,,Fantastic Beasts and Where to Find Them
2016,89,Costume Design,,,Florence Foster Jenkins
2016,89,Costume Design,,,Jackie
2016,89,Costume Design,,,La La Land
2016,89,Directing,,,Arrival
2016,89,Directing,,,Hacksaw Ridge
2016,89,Directing,,,La La Land
2016,89,Directing,,,Manchester by the Sea
2016,89,Directing,,,Moonlight
2016,89,Documentary (Feature),,,Fire at Sea
2016,89,Documentary (Feature),,,I Am Not Your Negro
2016,89,Documentary (Feature),,,"Life, Animated"
2016,89,Documentary (Feature),,,O.J.: Made in America
2016,89,Documentary (Feature),,,13th
2016,89,Documentary (Short Subject),,,Extremis
2016,89,Documentary (Short Subject),,,4.1 Miles
2016,89,Documentary (Short Subject),,,Joe’s Violin
2016,89,Documentary (Short Subject),,,Watani: My Homeland
2016,89,Documentary (Short Subject),,,The White Helmets
2016,89,Film Editing,,,Arrival
2016,89,Film Editing,,,Hacksaw Ridge
2016,89,Film Editing,,,Hell or High Water
2016,89,Film Editing,,,La La Land
2016,89,Film Editing,,,Moonlight
2016,89,Foreign Language Film,,,Land of Mine
2016,89,Foreign Language Film,,,A Man Called Ove
2016,89,Foreign Language Film,,,The Salesman
2016,89,Foreign Language Film,,,Tanna
2016,89,Foreign Language Film,,,Toni Erdmann
2016,89,Makeup AND Hairstyling,,,A Man Called Ove
2016,89,Makeup AND Hairstyling,,,Star Trek Beyond
2016,89,Makeup AND Hairstyling,,,Suicide Squad
2016,89,Music (Original Score),,,Jackie
2016,89,Music (Original Score),,,La La Land
2016,89,Music (Original Score),,,Lion
2016,89,Music (Original Score),,,Moonlight
2016,89,Music (Original Score),,,Passengers
2016,89,Music (Original Song),,La La Land,Justin Hurwitz;Benj Pasek;Justin Paul,Audition (The Fools Who Dream)
2016,89,Music (Original Song),,Trolls,Justin Timberlake;Max Martin;Karl Johan Schuster,Can’t Stop The Feeling
2016,89,Music (Original Song),,La La Land,Justin Hurwitz;Benj Pasek;Justin Paul,City Of Stars
2016,89,Music (Original Song),,Jim: The James Foley Story,J. Ralph;Sting,The Empty Chair
2016,89,Music (Original Song),,Moana,Lin-Manuel Miranda,How Far I’ll Go
2016,89,Production Design,,,Arrival
2016,89,Production Design,,,Fantastic Beasts and Where to Find Them
2016,89,Production Design,,,Hail, Caesar!
2016,89,Production Design,,,La La Land
2016,89,Production Design,,,Passengers
2016,89,Short Film (Animated),,,Blind Vaysha
2016,89,Short Film (Animated),,,Borrowed Time
2016,89,Short Film (Animated),,,Pear Cider and Cigarettes
2016,89,Short Film (Animated),,,Pearl
2016,89,Short Film (Animated),,,Piper
2016,89,Short Film (Live Action),,,Ennemis Intérieurs
2016,89,Short Film (Live Action),,,La Femme et le TGV
2016,89,Short Film (Live Action),,,Silent Nights
2016,89,Short Film (Live Action),,,Sing
2016,89,Short Film (Live Action),,,Timecode
2016,89,Sound Editing,,,Arrival
2016,89,Sound Editing,,,Deepwater Horizon
2016,89,Sound Editing,,,Hacksaw Ridge
2016,89,Sound Editing,,,La La Land
2016,89,Sound Editing,,,Sully
2016,89,Sound Mixing,,,Arrival
2016,89,Sound Mixing,,,Hacksaw Ridge
2016,89,Sound Mixing,,,La La Land
2016,89,Sound Mixing,,,Rogue One: A Star Wars Story
2016,89,Sound Mixing,,,13 Hours: The Secret Soldiers of Benghazi
2016,89,Visual Effects,,,Deepwater Horizon
2016,89,Visual Effects,,,Doctor Strange
2016,89,Visual Effects,,,The Jungle Book
2016,89,Visual Effects,,,Kubo and the Two Strings
2016,89,Visual Effects,,,Rogue One: A Star Wars Story
2016,89,Writing (Adapted Screenplay),,,Arrival
2016,89,Writing (Adapted Screenplay),,,Fences
2016,89,Writing (Adapted Screenplay),,,Hidden Figures
2016,89,Writing (Adapted Screenplay),,,Lion
2016,89,Writing (Adapted Screenplay),,,Moonlight
2016,89,Writing (Original Screenplay),,,Hell or High Water
2016,89,Writing (Original Screenplay),,,La La Land
2016,89,Writing (Original Screenplay),,,The Lobster
2016,89,Writing (Original Screenplay),,,Manchester by the Sea
2016,89,Writing (Original Screenplay),,,20th Century Women
